Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€), Number of employees 2022 ,Number of employees 2019,Founding Year
102, , ,HNB Construction Services,UK,Construction & Engineering,"                             1,585.1",                                          156.4,"                                    6,296,685","                                      391,627",                       6,2,2018
103, , ,iplicit,UK,IT & Software,"                             1,561.5",                                          155.2,"                                    1,748,944","                                      110,321",                     37,9,2010
104, , ,PVcase,Lithuania,IT & Software,"                             1,539.8",                                          154.1,"                                  11,332,391","                                      691,088",                   127,23,2018
105, , ,Ehrenkind,Germany,Ecommerce,"                             1,524.7",                                          153.3,"                                  14,866,479","                                      915,043",                     25,3,2018
106, , ,WordUnited,UK,Ecommerce,"                             1,505.3",                                          152.3,"                                    7,939,885","                                      518,373",                     15,3,2013
107, , ,Factory World Wide,Serbia,IT & Software,"                             1,490.7",                                          151.5,"                                    9,455,658","                                      594,436",                     76,9,2015
108,18, ,Freight2Fly,Germany,Logistics & Transportation,"                             1,480.4",                                          151.0,"                                  14,013,946","                                      886,708",                     10,3,2018
109, , ,Flease,France,"Prof, Scientific & Tech Serv","                             1,472.3",                                          150.5,"                                    2,414,252","                                      153,550",                     10,3,2018
110, , ,Invvenio Communication,Germany,"Prof, Scientific & Tech Serv","                             1,461.4",                                          149.9,"                                    8,322,940","                                      533,038",                   186,15,2018
111, , ,LV Group,Italy,Energy & Utilities,"                             1,450.3",                                          149.3,"                                    9,534,929","                                      615,036",                     28,8,2015
112,395, ,Lukardi,Poland,IT & Software,"                             1,449.8",                                          149.3,"                                    8,781,019","                                      626,090",                     51,2,2015
113,70, ,KoRo,Germany,Hospitality & Travel,"                             1,440.3",                                          148.8,"                                  86,770,000","                                    5,633,301",                   270,15,2012
114, , ,Cleo,UK,"Fintech, Fin Serv & Insurance ","                             1,430.0",                                          148.3,"                                  28,512,040","                                    1,781,418",                   189,56,2016
115,242, ,Fredward,UK,Management Consulting,"                             1,427.6",                                          148.1,"                                    9,765,917","                                      669,992",                     54,3,2016
116, , ,Koll,Germany,Construction & Engineering,"                             1,427.1",                                          148.1,"                                    2,165,288","                                      141,792",                       3,2,2011
117,35,52,Active Energy Solutions,Greece,Energy & Utilities,"                             1,412.5",                                          147.3,"                                  40,438,273","                                    2,673,665",                       2,2,2014
118, , ,Zeelo Ltd,UK,IT & Software,"                             1,389.4",                                          146.0,"                                  27,671,138","                                    1,947,058",                   146,43,2016
119, , ,CAMS Servizi Edili,Italy,Construction & Engineering,"                             1,363.8",                                          144.6,"                                  16,294,326","                                    1,113,128",                     24,5,2018
120, , ,MRG — MAC Recruit Group,UK,Employment Services,"                             1,363.1",                                          144.6,"                                    4,060,235","                                      290,832",                       5,2,2018
121, , ,Exelab,Italy,IT & Software,"                             1,353.2",                                          144.0,"                                    3,220,733","                                      221,630",                     24,1,2006
122, , ,AMX,Germany,IT & Software,"                             1,342.3",                                          143.4,"                                    6,880,000","                                      477,000",                     16,2,2017
123, , ,P.B.L.,Italy,Mech & Plant Engineering,"                             1,336.6",                                          143.1,"                                  14,481,246","                                    1,007,997",                     40,14,2018
124, , ,TerraPay,UK,"Fintech, Fin Serv & Insurance ","                             1,321.9",                                          142.3,"                                  48,417,430","                                    3,255,095",                   428,7,2015
125,280, ,Isoterma,Italy,Construction & Engineering,"                             1,320.8",                                          142.2,"                                  68,225,728","                                    4,801,999",                     25,13,2014
126, , ,Plum,UK,"Fintech, Fin Serv & Insurance ","                             1,316.6",                                          142.0,"                                    4,465,737","                                      330,389",                   156,35,2016
127,230, ,Termo,Italy,IT & Software,"                             1,312.8",                                          141.7,"                                  36,757,162","                                    2,601,680",                   160,49,2014
128, , ,Addepto,Poland,IT & Software,"                             1,310.7",                                          141.6,"                                    3,352,416","                                      262,600",                     40,15,2018
129, , ,Clear Junction,UK,"Fintech, Fin Serv & Insurance ","                             1,290.7",                                          140.5,"                                  18,281,816","                                    1,314,624",                     94,24,2016
130, , ,Cosaporto,Italy,Ecommerce,"                             1,270.7",                                          139.3,"                                    1,649,137","                                      120,316",                     20,4,2017
131, , ,RC Relax,Italy,Furniture & Interiors,"                             1,269.2",                                          139.2,"                                    1,852,362","                                      135,288",                       6,3,2015
132,364,441,Bunker Partner,Estonia,Energy & Utilities,"                             1,255.1",                                          138.4,"                             1,069,496,711","                                  78,924,555",                     16,5,2015
133, , ,inboundbuzz,Germany,Advertising & Marketing,"                             1,254.0",                                          138.3,"                                    2,577,346","                                      190,357",                     12,4,2016
134,241, ,Imprendiroma,Italy,Construction & Engineering,"                             1,252.7",                                          138.3,"                                  36,046,365","                                    2,664,786",                     32,12,2008
135,157, ,B.Conseil,France,Management Consulting,"                             1,241.9",                                          137.6,"                                    3,530,917","                                      263,136",                     32,2,2017
136, , ,Ondato,Lithuania,"Fintech, Fin Serv & Insurance ","                             1,241.6",                                          137.6,"                                    4,715,337","                                      351,468",                   178,18,2014
137,113, ,Refinery89,Netherlands,Advertising & Marketing,"                             1,234.8",                                          137.2,"                                  15,283,000","                                    1,145,000",                     34,4,2018
138, , ,Execus,Italy,Education & Social Services,"                             1,221.7",                                          136.4,"                                    2,380,303","                                      180,092",                       9,1,2019
139, , ,weLOG,Germany,Logistics & Transportation,"                             1,219.7",                                          136.3,"                                    5,367,534","                                      406,710",                   102,9,2019
140, , ,hyperexponential,UK,IT & Software,"                             1,208.1",                                          135.6,"                                  10,004,350","                                      801,534",                     56,9,2017
141, , ,GOtel,Germany,Wholesale,"                             1,206.4",                                          135.5,"                                175,841,593","                                  13,460,440",                     17,5,2019
142, , ,EGT-Wirth,Germany,Electrical Manufacturing,"                             1,204.8",                                          135.4,"                                    4,026,007","                                      308,545",                     27,6,2018
143, , ,The People Branding Company,Germany,Advertising & Marketing,"                             1,204.5",                                          135.4,"                                    1,982,262","                                      151,961",                     15,2,2019
144,27, ,Crafting Future,Germany,Hospitality & Travel,"                             1,203.1",                                          135.3,"                                    4,570,800","                                      350,758",                     26,3,2017
145, , ,Proxify,Sweden,IT & Software,"                             1,192.0",                                          134.6,"                                  20,520,598","                                    1,694,214",                   138,10,2018
146, , ,Cask Trade,UK,Food & Beverages,"                             1,185.3",                                          134.2,"                                  23,530,086","                                    1,918,640",                     22,4,2018
147, , ,Conceptboard,Germany,IT & Software,"                             1,185.1",                                          134.2,"                                    5,590,000","                                      435,000",                     50,13,2019
148, , ,Logical Biological,UK,"Prof, Scientific & Tech Serv","                             1,179.3",                                          133.9,"                                    4,676,277","                                      383,106",                       7,4,2019
149, , ,Wingstop UK,UK,Hospitality & Travel,"                             1,177.8",                                          133.8,"                                  43,067,774","                                    3,532,276","                1,200",500,2017
150,103, ,Skladon,Czech Rep,Logistics & Transportation,"                             1,156.8",                                          132.5,"                                    5,802,805","                                      439,861",                   103,45,2015
151, , ,Gain.pro,Netherlands,"Fintech, Fin Serv & Insurance ","                             1,141.7",                                          131.6,"                                    2,944,106","                                      237,108",                   137,35,2018
152, , ,MGW,Germany,"Prof, Scientific & Tech Serv","                             1,137.5",                                          131.3,"                                    1,878,103","                                      151,763",                     30,5,1999
153,291, ,DAC.digital,Poland,IT & Software,"                             1,120.9",                                          130.3,"                                    5,766,041","                                      521,883",                     69,20,2016
154, , ,Baumdick,Germany,Management Consulting,"                             1,120.6",                                          130.2,"                                    4,103,726","                                      336,196",                     20,3,2018
155, ,81,ISO Public Services,Germany,IT & Software,"                             1,118.8",                                          130.1,"                                  79,933,000","                                    6,558,088",                   130,1,2014
156, , ,Ecologia Sannita,Italy,Waste mgmt & recycling,"                             1,096.7",                                          128.7,"                                    2,129,077","                                      177,906",                     14,4,2018
157, , ,Link Group,Poland,IT & Software,"                             1,093.8",                                          128.5,"                                    2,147,597","                                      198,783",                     49,11,2016
158, , ,Mon courtier énergie,France,Energy & Utilities,"                             1,093.1",                                          128.5,"                                  19,150,000","                                    1,605,000",                     32,7,2017
159, , ,Servisa Baustoffe,Germany,Waste mgmt & recycling,"                             1,086.0",                                          128.1,"                                    7,759,770","                                      654,256",                     28,23,2018
160, , ,Techwolf,Belgium,IT & Software,"                             1,079.6",                                          127.6,"                                    1,525,769","                                      129,349",                     44,10,2018
161, , ,klarsolar,Germany,Energy & Utilities,"                             1,076.2",                                          127.4,"                                  48,967,000","                                    4,163,000",                   151,20,2018
