Rank,Rank 2023,Rank 2022,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year
553,,,Punto Parquet Toscana S.r.l.s.,Italy,Construction & Engineering,295.6,58.2,2335769,590508,12,7.0,2018
554,,,Rehl Energy,Germany,Wholesale,295.2,58.1,16693021,4223443,33,10.0,2016
555,,,Ekom*,Italy,Waste mgmt & recycling,295.2,58.1,5217312,1320321,8,4.0,2015
556,,374.0,Doctify,UK,Health Care & Life Sciences,295.0,58.1,5456706,1447744,91,33.0,2014
557,493.0,,Xilia,Italy,Furniture & Interiors,295.0,58.1,3037042,768874,8,7.0,2017
558,573.0,,Evora Global,UK,Real Estate,294.7,58.0,14573234,3869945,49,36.0,2011
559,,,Ciocomiti,Italy,Food & Beverages,293.8,57.9,2076660,527365,27,12.0,2016
560,,,Instinct3,Germany,Advertising & Marketing,293.1,57.8,7032989,1789059,42,6.0,2018
561,,558.0,BPV,Germany,"Prof, Scientific & Tech Serv",292.9,57.8,42786981,10889993,150,64.0,2013
562,,,Theon International,Cyprus,Aerospace & Defence,292.7,57.8,147386179,37530263,247,107.0,1997
563,,,Esco Gas,Italy,Energy & Utilities,291.8,57.7,2088452,532975,8,6.0,2012
564,165.0,,AllgäuQuelle Naturprodukte,Germany,Health Care & Life Sciences,291.6,57.6,2205014,563097,20,4.0,2017
565,,,Screen Pharma S.r.l.s.,Italy,Pharma & Cosmetics,291.3,57.6,2282838,583422,5,3.0,2006
566,840.0,357.0,CrowdProperty,UK,"Fintech, Fin Serv & Insurance",291.2,57.6,7528052,2016759,49,27.0,2013
567,373.0,192.0,Gpainnova,Spain,Mech & Plant Engineering,290.6,57.5,23056339,5902390,187,56.0,2013
568,,,Maraelite KFT,Hungary,Retail,289.3,57.3,2367258,735652,4,3.0,2016
569,,,Dreamix,Bulgaria,IT & Software,289.1,57.3,12160000,3125000,169,57.0,2006
570,,,eniosol,Germany,Energy & Utilities,287.8,57.1,5908408,1523410,15,2.0,2015
571,,,Autoeasy,France,Automotive,285.4,56.8,5206016,1350821,6,3.0,2011
572,,,fsk industries,Germany,Mech & Plant Engineering,285.0,56.7,4624265,1201213,20,7.0,2017
573,467.0,,M.K. Trading,Italy,Food & Beverages,283.6,56.5,7345672,1914842,1,1.0,2013
574,,,TMP Group,Italy,Advertising & Marketing,283.6,56.5,5834997,1521232,26,15.0,2012
575,,,Sun-Times,Italy,Advertising & Marketing,282.7,56.4,8136969,2126054,65,20.0,2006
576,,,OGA — One Generation Ahead,Italy,Wholesale,282.6,56.4,7399083,1934088,2,1.0,2007
577,,,energiePLUSagrar,Germany,Energy & Utilities,282.2,56.3,6638324,1736993,5,4.0,2018
578,,,Garaude,France,Wholesale,282.0,56.3,21534708,5637779,11,6.0,1995
579,,,Assicuratore Facile,Italy,"Fintech, Fin Serv & Insurance",281.9,56.3,1918416,502324,20,4.0,2016
580,258.0,148.0,RoomRaccoon,Netherlands,IT & Software,281.3,56.2,3642221,955099,90,40.0,2017
581,,,LGG Advisors,Portugal,"Prof, Scientific & Tech Serv",281.2,56.2,1604369810,420883150,23,7.0,2008
582,,,Energiasolare100,Italy,Ecommerce,280.8,56.2,8821982,2316837,12,10.0,2015
583,,,AP Autohaus,Germany,Automotive,280.6,56.1,3175559,834292,4,4.0,2016
584,746.0,335.0,Dimaxbau,Germany,Construction & Engineering,280.6,56.1,4697344,1234228,20,12.0,2016
585,508.0,176.0,ITDS,Poland,IT & Software,279.4,56.0,20869744,6078319,380,120.0,2015
586,579.0,603.0,Sidea Group,Italy,IT & Software,279.0,55.9,6700353,1768001,132,24.0,2015
587,,,CitizenLab,Belgium,IT & Software,278.6,55.9,2740533,723919,59,18.0,2015
588,854.0,522.0,Factory,France,Real Estate,278.0,55.8,43391564,11480368,65,35.0,2017
589,,,Vasco Electronics,Poland,IT & Software,276.8,55.6,18168889,5327899,162,91.0,2012
590,,,LeadLogic,Netherlands,Advertising & Marketing,276.6,55.6,2422363,643155,16,7.0,2014
591,,,Markt-Bau,Germany,Ecommerce,275.9,55.5,8177859,2175700,20,8.0,2016
592,,,Comfort Click,UK,Ecommerce,275.5,55.4,38941148,10868555,175,115.0,2005
593,,,U.G.A. Nutraceuticals,Italy,Pharma & Cosmetics,275.1,55.4,14528227,3873241,11,9.0,2005
594,,,Hagedorn Products & Systems,Germany,Wholesale,274.5,55.3,8789636,2346825,25,8.0,2018
595,214.0,68.0,Everli,Italy,Ecommerce,274.3,55.3,103783000,27725000,184,114.0,2014
596,,,Advisori FTC,Germany,Management Consulting,274.2,55.3,23200000,6200000,105,81.0,2014
597,,,Lovall,UK,Apparel & Fashion,274.0,55.2,6859857,1922444,18,5.0,2015
598,,553.0,Selferg,Italy,Energy & Utilities,274.0,55.2,6792688,1816410,70,20.0,2007
599,512.0,397.0,CurrentBody,UK,Ecommerce,273.1,55.1,66648410,18719491,105,52.0,2009
600,,,DigitalSpital,Germany,Advertising & Marketing,272.2,55.0,2599904,698541,18,7.0,2016
601,,,In Situ,Italy,Construction & Engineering,271.4,54.9,5581115,1502700,67,4.0,2007
